"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","SYMBOL"
"CLU",1.11187017166287e-221,-2.70426992985105,0.668,0.999,2.20183650094398e-217,"CLU"
"GPX3",6.7116621817674e-194,-2.12330719604256,0.138,0.878,1.3291104618554e-189,"GPX3"
"TMEM59",1.09679025316937e-157,-1.43850211675929,0.663,0.951,2.1719737383513e-153,"TMEM59"
"SELM",2.07627901850993e-140,-1.46462143118651,0.076,0.692,4.11165534035521e-136,"SELM"
"TG",9.51295226151029e-129,-1.86377970768591,0.449,0.946,1.88384993634688e-124,"TG"
"TSC22D1",4.79548643188718e-121,-2.02639990850499,0.39,0.851,9.49650178106617e-117,"TSC22D1"
"BRI3",4.38689442343105e-120,1.19433249642723,0.873,0.498,8.68736702672051e-116,"BRI3"
"XIST",1.81572230622821e-119,1.00400025151304,0.552,0.034,3.59567488302372e-115,"XIST"
"IFI6",7.64638941603435e-109,-1.4893783212696,0.068,0.603,1.51421449605728e-104,"IFI6"
"CCDC80",1.65710166112828e-108,-1.24220324230883,0.096,0.631,3.28155841953233e-104,"CCDC80"
"SDC2",2.27333276519665e-104,-1.13686267111657,0.212,0.711,4.50188087491893e-100,"SDC2"
"PASK",2.0939614600731e-103,1.63652563833567,0.49,0.037,4.14667187938276e-99,"PASK"
"JUND",2.54721282016503e-102,1.53388848654957,0.927,0.665,5.04424554777281e-98,"JUND"
"SNHG25",6.27695271029621e-98,-1.06839666354127,0.133,0.626,1.24302494521996e-93,"SNHG25"
"SEP15",1.28197327503819e-97,-0.934081333751089,0.291,0.753,2.53869167655813e-93,"SEP15"
"HIST1H1C",1.43155106115546e-95,2.03591654618937,0.691,0.262,2.83490056640616e-91,"HIST1H1C"
"CD24",3.27283724980439e-95,-1.11314707047378,0.599,0.945,6.48119960578764e-91,"CD24"
"C2orf40",3.5794863213025e-93,-1.51523187521328,0.589,0.921,7.08845676207533e-89,"C2orf40"
"PCSK1N",1.90476773548757e-92,-0.987110777390934,0.05,0.523,3.77201154658604e-88,"PCSK1N"
"SLPI",8.99817549321533e-92,-1.70967368010859,0.21,0.687,1.78190869292143e-87,"SLPI"
"PSAP",5.84188110655074e-91,-0.921439576216702,0.39,0.825,1.15686771553024e-86,"PSAP"
"NTRK2",6.39485398053655e-91,-1.06991521608095,0.114,0.576,1.26637293376565e-86,"NTRK2"
"APOE",4.52363385846366e-89,-1.67372829018652,0.135,0.613,8.9581521299156e-85,"APOE"
"CBLN1",5.15968613198842e-89,0.945809025447504,0.451,0.041,1.02177264471767e-84,"CBLN1"
"IGFBP7",7.43689493754101e-89,-1.36029774052456,0.049,0.508,1.47272830448125e-84,"IGFBP7"
"HMGB2",2.86103946982476e-86,1.6759437294649,0.66,0.234,5.66571646209397e-82,"HMGB2"
"PPP1R7",3.00939678410191e-80,1.64859051817967,0.636,0.244,5.95950845155701e-76,"PPP1R7"
"PLPP3",2.27202425347955e-78,-0.936989792928358,0.195,0.667,4.49928962916556e-74,"PLPP3"
"H1FX",4.72750431754637e-77,1.09214858544195,0.605,0.194,9.36187680003707e-73,"H1FX"
"UBE2S",7.2663403650626e-77,1.25543011777481,0.476,0.084,1.43895338249335e-72,"UBE2S"
"CTSC",9.33196053171984e-76,2.18662113479216,0.77,0.49,1.84800814409648e-71,"CTSC"
"KCNJ16",2.01000159641754e-74,-0.870057879335604,0.18,0.622,3.98040616138564e-70,"KCNJ16"
"NMU",3.18138643303086e-72,1.3964093438647,0.53,0.127,6.30009955333101e-68,"NMU"
"STMN1",3.19737317619784e-70,1.43466874471973,0.558,0.172,6.33175810082459e-66,"STMN1"
"ATPIF1",1.09780590391008e-69,-0.762055117856662,0.581,0.875,2.17398503151313e-65,"ATPIF1"
"CPQ",8.63561540331215e-69,-0.843008839462237,0.173,0.566,1.7101109183179e-64,"CPQ"
"IFITM3",8.81962578201788e-69,-0.795418024868214,0.087,0.493,1.746550493613e-64,"IFITM3"
"CAV1",3.59523395171798e-68,-1.32939109576417,0.325,0.714,7.11964179458711e-64,"CAV1"
"HSPA1B",1.55220709687724e-66,1.48838294313349,0.683,0.355,3.07383571394599e-62,"HSPA1B"
"SLC25A6",4.04851063343799e-65,-0.77243220413135,0.606,0.857,8.01726560739726e-61,"SLC25A6"
"SNHG8",4.19421387220681e-65,-0.803795466440571,0.48,0.83,8.30580173113115e-61,"SNHG8"
"PRSS23",1.26535132467064e-63,-0.959319034701655,0.271,0.66,2.50577522824527e-59,"PRSS23"
"TSPAN1",6.03116926840292e-63,-0.888051315880484,0.135,0.521,1.19435245022183e-58,"TSPAN1"
"HIST1H1D",8.29461178146311e-63,0.787650668398739,0.359,0.04,1.64258197108314e-58,"HIST1H1D"
"FN1",5.39851777213984e-62,0.712893879923718,0.985,0.657,1.06906847441685e-57,"FN1"
"PCP4",4.00080942886414e-60,-0.891226889744135,0.02,0.345,7.92280291197966e-56,"PCP4"
"CPVL",2.33547251483765e-59,-0.914778760796509,0.215,0.584,4.62493622113301e-55,"CPVL"
"BIRC7",3.83690445312249e-58,0.700403066812917,0.295,0.018,7.59822188851847e-54,"BIRC7"
"MYL9",2.65827604341598e-56,-0.755250636343553,0.238,0.605,5.26418404877667e-52,"MYL9"
"SMC4",2.84883768460196e-55,0.800178416434,0.475,0.141,5.64155326681726e-51,"SMC4"
"NGFRAP1",4.42541682300257e-55,-0.84968283569033,0.392,0.708,8.76365293459199e-51,"NGFRAP1"
"TXNIP",2.21894777119846e-54,-0.8777416062301,0.273,0.627,4.39418227130431e-50,"TXNIP"
"TFF3",2.34664142388738e-54,-3.21546784359595,0.004,0.287,4.64705401172419e-50,"TFF3"
"ID3",2.96599389158323e-54,-1.07467083041167,0.153,0.512,5.87355770350228e-50,"ID3"
"CITED1",6.49893422111026e-53,1.69826752434161,0.544,0.228,1.28698394380647e-48,"CITED1"
"H2AFV",8.06198446864299e-53,0.906116494779022,0.647,0.337,1.59651478432537e-48,"H2AFV"
"TMED2",3.6824571166501e-52,-0.702049151350773,0.433,0.743,7.2923698281022e-48,"TMED2"
"IGFBP5",2.26418446049968e-51,-1.15851630269961,0.16,0.517,4.48376448712751e-47,"IGFBP5"
"CTGF",4.56676573396411e-50,-1.67046592957103,0.081,0.391,9.04356618296913e-46,"CTGF"
"C6orf48",8.00416806669536e-49,-0.773315744628822,0.258,0.572,1.58506540224768e-44,"C6orf48"
"HLA-DRA",1.33695566687392e-48,-1.26644462056963,0.135,0.471,2.64757330711043e-44,"HLA-DRA"
"NUPR1",4.81627209242309e-48,-0.839965012510331,0.122,0.452,9.53766362462544e-44,"NUPR1"
"WFDC2",5.5025901809065e-48,-0.839551167390961,0.369,0.723,1.08967793352491e-43,"WFDC2"
"HN1",3.77593790874685e-47,0.767475283650598,0.497,0.187,7.47748984069139e-43,"HN1"
"CXCL14",7.23005225734719e-46,-2.78434189227567,0.173,0.469,1.43176724852246e-41,"CXCL14"
"RGS5",1.82472905846949e-45,-1.19057201071416,0.018,0.273,3.61351095448713e-41,"RGS5"
"SLC26A7",1.18053251672251e-44,-1.16490208399183,0.107,0.405,2.33780854286558e-40,"SLC26A7"
"UPP1",2.05404324940722e-44,0.729229529926251,0.524,0.216,4.06762184680111e-40,"UPP1"
"DCSTAMP",6.96071746126821e-44,0.710565685661215,0.425,0.13,1.37843087885494e-39,"DCSTAMP"
"CAV2",9.67324155504089e-43,-0.707379887653868,0.396,0.685,1.91559202514475e-38,"CAV2"
"NMB",7.42819680097972e-42,-1.00316970983595,0.156,0.442,1.47100581249801e-37,"NMB"
"IGFBP6",6.0275038414255e-40,1.14487348834362,0.771,0.515,1.19362658571749e-35,"IGFBP6"
"PCSK2",1.3612628163043e-39,-0.858111543699785,0.135,0.418,2.69570875512742e-35,"PCSK2"
"ID1",3.58301434546996e-39,-0.713655823548116,0.241,0.564,7.09544330833416e-35,"ID1"
"MGP",5.77737084028538e-39,-0.900155280282352,0.12,0.409,1.14409274750171e-34,"MGP"
"HSPA1A",9.2352755431205e-39,1.13363087470806,0.635,0.372,1.82886161580415e-34,"HSPA1A"
"HLA-DRB1",6.42395368193132e-37,-1.19196033161874,0.142,0.413,1.27213554763286e-32,"HLA-DRB1"
"CD74",7.01021023832008e-37,-0.856694813326482,0.375,0.67,1.38823193349452e-32,"CD74"
"AGR2",4.46564931044317e-36,-0.714729718983067,0.21,0.49,8.84332532947061e-32,"AGR2"
"APOC1",5.32180946701582e-36,-0.727820051448266,0.139,0.415,1.05387792875314e-31,"APOC1"
"PLCG2",4.4696360099137e-35,1.66186755606505,0.585,0.299,8.85122019043209e-31,"PLCG2"
